City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,qarqaraly,49.4058,75.4742,282.16,54,3,2.45,KZ,1746491089
335,goz beida,13.95,20.55,299.52,15,0,3.72,TD,1746491090
336,egilsstadir,65.2653,-14.3948,283.1,71,75,6.17,IS,1746491092
337,tabina,7.4669,123.4081,300.79,83,96,0.81,PH,1746491093
338,bonthe,7.5264,-12.505,299.66,83,95,0.66,SL,1746491094
339,port moresby,-9.4431,147.1797,300.83,78,75,5.14,PG,1746491095
340,kijang,35.2442,129.2139,285.0,84,100,4.24,KR,1746491096
341,kani keli,-12.9536,45.1033,300.74,77,33,7.27,YT,1746491097
342,sao joao da barra,-21.6403,-41.0511,296.38,71,0,5.48,BR,1746491100
343,vadso,70.0744,29.7487,272.24,74,100,6.69,NO,1746491101
344,alice springs,-23.7,133.8833,293.9,46,23,1.54,AU,1746491102
345,trinity beach,-16.7888,145.6968,299.09,73,100,8.23,AU,1746491103
346,peace river,56.2501,-117.286,291.32,15,40,5.66,CA,1746491104
347,dryden,49.7833,-92.7503,299.31,25,0,4.12,CA,1746490900
348,plastun,44.7561,136.2939,287.02,41,75,0.89,RU,1746491107
349,umea,63.8284,20.2597,273.11,86,0,4.12,SE,1746491108
350,aioun,16.6614,-9.6149,306.79,18,14,3.1,MR,1746491109
351,murghob,38.1702,73.9667,274.79,35,0,1.87,TJ,1746491110
352,tidjikja,18.5564,-11.4271,308.23,18,82,2.38,MR,1746491112
353,mossel bay,-34.1831,22.146,287.83,84,0,2.49,ZA,1746491113
354,burutu,5.3509,5.5076,299.42,87,100,2.42,NG,1746491115
355,manadhoo,5.7667,73.3833,302.42,73,81,6.15,MV,1746491116
356,constantia,44.1833,28.65,285.76,92,100,2.46,RO,1746491117
357,issa,53.8705,44.8578,284.77,87,98,4.03,RU,1746491118
358,rikaze,29.25,88.8833,275.55,96,100,2.08,CN,1746491120
359,huangnihe,43.5583,128.0239,282.5,55,78,2.77,CN,1746491121
360,bain-de-bretagne,47.8442,-1.6849,281.76,83,37,4.13,FR,1746491122
